grade,de,en,tr,article
,Blog,Blog,Blog,das
B1,Blogg,Blogg,Blog,-
B1,Bloggt,Blogs,Bloglar,-
A2,Blond,Blond,Sarışın,das
B1,Bloß,Just,Sadece,-
A1,Blume,flower,Çiçek,die
A2,Bluse,Blouse,Bluz,die
B1,Blut,blood,kan,das
B1,Bluten,Bleed,Kanama,das
A2,Blöd,Stupid,Aptal,Adjektiv
B1,Blühen,Bloom,Çiçek açmak,das
B1,Blühte,Bloomed,çiçek açmış,-
A2,Boden,Floor,Zemin,der
A2,Bodensee,Lake Constance,Konstanz Gölü,der
B1,Bog,Bog,Bataklık,-
A1,Bogen,arc,Yay,der
A2,Bohnen,Beans,Fasulye,-
A2,Bond,Bond,Bağlamak,der
A2,Bondkeiner,Bond none,Tahvil yok,-
A2,Book,Book,Kitap,-
A2,Books,Books,Kitaplar,-
B1,Boot,boat,bot,das
B1,Bord,board,pano,der
B1,Botschaft,Message,Mesaj,die
A2,Brandn,Brandn,Brandn,-
B1,Brannen,Brannen,Brannen,-
A1,Brasilien,Brazil,Brezilya,-
A2,Braten,Fry,Yağda kızartmak,der
A2,Bratwurst,Bratwurst,sosisli sandviç,die
A1,Brauchen,Need,İhtiyaç,das
B1,Brauchte,Needed,Gerekli,-
A1,Brauchtum,regional customs,bölgesel gelenekler,das
A1,Braun,Brown,Kahverengi,das
B1,Brechen,Break,Kırmak,das
A1,Breit,Broad,Kalın,Adjektiv
,Breite,Width,Genişlik,die
B1,Brem,Brake,Fren,-
B1,Bremse,brake,fren,die
B1,Bremsen,Brakes,Frenler,das
B1,Brennen,Burn,Yakmak,das
A1,Brief,letter,mektup,der
B1,Briefkasen,Mailboxes,Posta kutuları,-
A1,Briefmarke,stamp,mühür,die
B1,Brieftasch,wallet,cüzdan,-
B1,Briefträger,Postman,Postacı,der
B1,Briefträgerin,postwoman,postacı,die
B1,Briefumschlag,Envelope,Mektup,der
B1,Brigitte,Bridget,Bridget,-
A2,Brille,Glasses,Gözlük,die
A2,Bringst,Bring,Getirmek,-
A1,Broschüre,brochure,broşür,die
A1,Brot,bread,ekmek,das
B1,Bruchzahl,Fractional number,Kesirli sayı,die
B1,Bruchzahlen,Fractional numbers,Kesirli sayılar,-
A1,Bruder,brother,kardeş,der
B1,Brust,Breast,Göğüs,die
A2,Brät,Fry,Yağda kızartmak,das
A1,Brötchen,Bread rolls,Ekmek ruloları,das
B1,Brötli,Bread,Ekmek,-
A2,Brücke,Bridge,Köprü,die
A2,Bsp,Ex,Eski,-
B1,Bub,boy,erkek çocuk,der
B1,Buben,boys,erkek çocuklar,-
A1,Buch,book,kitap,das
B1,Buchdruck,Letterpress,Tipo baskı,der
A2,Buchen,Book,Kitap,das
B1,Buchhandlung,Bookstore,Kitapçı,die
A1,Buchladen,Bookstore,Kitapçı,der
A2,Buchmesse,Book fair,Kitap fuarı,die
B1,Buchsta,Letter,Mektup,-
A1,Buchstabe,letter,mektup,der
A1,Buchstabieren,Spell,Hecelemek,das
A2,Buchstabiern,Spell,Hecelemek,-
B1,Buffet,Buffet,Büfe,das
B1,Bund,Federal,Federal,das
A2,Bundesdeutsch,Federal German,Federal Almanca,-
B1,Bundesdeutschen,Federal Germans,Federal Almanlar,-
B1,Bundeskanzler,Chancellor,Şansölye,der
B1,Bundeskanzlerin,Chancellor,Şansölye,die
B1,Bundesland,Federal State,Federal Eyalet,das
B1,Bundespräsident,Federal President,Federal Başkan,der
B1,Bundespräsidentin,Federal President,Federal Başkan,-
B1,Bundesrat,Federal Council,Federal Konsey,der
B1,Bundesrätin,Federal Councilor,Federal Meclis Üyesi,-
B1,Bundestag,Bundestag,Federal Meclis,der
A2,Bunen,Bunen,Bunen,-
A2,Bunt,Colorful,Renkli,-
B1,Burg,castle,kale,die
B1,Busbahnhof,bus station,otobüs terminali,der
B1,Busfahrer,bus driver,otobüs şoförü,der
B1,Busfahrerin,Bus driver,Otobüs şoförü,die
A2,Buttercr,Buttercr,Tereyağı,-
A2,Bzw,Or,Veya,-
A2,Bäcken,Baking,Pişirme,-
A2,Bäcker,Baker,Fırıncı,der
A1,Bäckerei,bakery,fırın,die
A2,Bäckerin,Baker,Fırıncı,die
B1,Bär,bear,ayı,der
A1,Böse,Evil,Fenalık,Adjektiv
B1,Böses,Evil,Fenalık,-
B1,Büch,book,kitap,-
B1,Büchse,can,olabilmek,die
B1,Bühne,stage,sahne,die
B1,Bür,Office,Ofis,-
B1,Bürger,Citizens,Vatandaşlar,der
B1,Bürgerin,citizen,vatandaş,die
B1,Bürgermeister,mayor,belediye başkanı,der
B1,Bürgermeisterin,Mayor,Belediye Başkanı,die
A1,Büro,office,Ofis,das
A2,Cafeteria,cafeteria,kafeterya,die
A1,Café,cafe,kafe,das
B1,Camp,Camp,Kamp,das
B1,Campen,Camp,Kamp,-
B1,Camping,camping,kamp,das
B1,Campingplatz,campsite,kamp alanı,der
B1,Campt,Camp,Kamp,-
B1,Campte,Camped,Kamp yapmak,-
B1,Card,card,kart,-
B1,Castingshow,Casting show,Döküm gösterisi,-
A2,Caterina,Catherine,Catherine,-
B1,Chance,chance,şans,die
B1,Chat,Chat,Sohbet,der
A2,Chatt,Chat,Sohbet,-
B1,Chatteen,Chatteen,Chatteen,-
B1,Checken,Check,Kontrol etmek,das
B1,Checkt,Check,Kontrol etmek,-
B1,Checkte,Checked,İşaretlendi,-
A1,Chef,boss,patron,der
A2,Chemie,Chemistry,Kimya,die
B1,Chic,Chic,Şık,der
B1,Chick,Chick,Civciv,-
A2,Chinesisch,Chinese,Çince,das
B1,Chip,chip,çip,der
B1,Chipkart,Chip card,Çip kartı,-
A1,Circa,Approximately,Yaklaşık olarak,-
B1,City,City,Şehir,die
B1,Closet,Closet,Dolap,-
A2,Club,Club,Kulüp,der
A2,Co,Co,ortak,-
B1,Coiffeur,Hairdresser,Kuaför,der
B1,Coiffeuse,Hairdresser,Kuaför,die
A2,Cola,cola,kola,das
A2,Comic,Comic,komik,der
A2,Comics,comics,çizgi roman,-
B1,Computerfachfrau,Computer specialist,Bilgisayar uzmanı,-
A2,Computerkenntnisse,Computer skills,Bilgisayar becerileri,-
B1,Computerkurs,Computer course,Bilgisayar kursu,der
B1,Computerprogramm,Computer program,Bilgisayar programı,das
B1,Computerraum,Computer room,Bilgisayar odası,-
B1,Computerspezialist,Computer specialist,Bilgisayar uzmanı,der
B1,Confoederatio,Confederation,Konfederasyon,-
B1,Cool,Cool,Serin,Adjektiv
B1,Couch,couch,kanepe,die
A2,Cousin,cousin,kuzen,der
A2,Cousine,cousin,kuzen,die
B1,Couvert,Envelope,Mektup,das
A2,Crem,Cream,Krem,-
A1,Da,There,Orada,-
A1,Dabei,Included,Dahil,-
B1,Dach,Roof,Çatı,das
A2,Dafür,For that,Bunun için,-
B1,Dag,Dag,Dağ,-
A2,Dagegen,Against it,Buna karşı,-
A2,Daher,Therefore,Öyleyse,-
B1,Dahin,There,Orada,-
A2,Damals,At that time,O zaman,-
A1,Dame,Lady,Bayan,die
A2,Damit,With it,onunla,-
B1,Danach,Thereafter,Daha sonra,-
A1,Daneben,Besides,Ayrıca,-
A2,Daniela,Daniella,Daniella,-
A1,Dank,thanks,teşekkürler,der
B1,Dankbar,Thankful,müteşekkir,-
A1,Danke,Thanks,Teşekkürler,-
A1,Dann,Then,Daha sonra,-
B1,Dapfel,apple,elma,-
B1,Dar,Dar,Dar,-
A1,Daran,To it,ona,-
A2,Darauf,On it,Üzerinde,-
A2,Darfst,May,Mayıs,-
B1,Darstellen,Represent,Temsil etmek,das
B1,Darstellung,Depiction,Tasvir,die
B1,Darum,Therefore,Öyleyse,-
A1,Darunter,Below,Altında,-
A2,Darüber,About it,Bu konuda,-
A2,Dass,That,O,-
B1,Dasselbe,Same,Aynı,-
A2,Datei,file,dosya,die
B1,Datenträger,Disk,Disk,der
A1,Datum,date,tarih,das
B1,Dauer,Length of time,Zamanın uzunluğu,die
A1,Dauern,lasting,kalıcı,das
B1,Dauernd,Permanent,Kalıcı,-
B1,Davon,Of that,bundan,-
A1,Dazu,In addition,Ek olarak,-
B1,Decken,Cover,Kapak,das
A1,Dein,Your,Senin,-
A1,Deinen,Yours,seninki,-
B1,Deka,Deca,On yıl,das
B1,Dekorieren,Decorate,Süslemek,das
B1,Dekoriert,Decorated,Dekore edilmiş,-
B1,Demokratie,democracy,demokrasi,die
B1,Demokratisch,Democratically,Demokratik olarak,-
B1,Denk,Think,Düşünmek,-
A1,Denken,Think,Düşünmek,das
B1,Denkmal,monument,anıt,das
A2,Denktst,You think,Sence,-
A1,Denn,Because,Çünkü,-
B1,Deranfang,The beginning,başlangıç,-
A2,Derartig,Such,Çok,-
A2,Dersd,Dersd,Dersd,-
B1,Derselbe,Same,Aynı,-
A1,Deshalb,For this reason,Bu yüzden,-
A2,Design,design,tasarım,das
B1,Desseren,Dessen,Dessen,-
B1,Desto,The same,Aynısı,-
B1,Deswegen,Because of this,Bundan dolayı,-
B1,Detail,detail,detay,das
A2,Deutlich,Clearly,açıkça,-
A1,Deutsch,German,Almanca,das
A2,Deutschkenntnisse,Knowledge of German,Almanca bilgisi,-
A1,Deutschland,Germany,Almanya,das
B1,Deutschlern,Learn German,Almanca öğren,-
A2,Deutschlernend,Learning German,Almanca öğrenmek,-
A1,Deutschprüfung,German exam,almanca sınavı,die
A2,Deutschsprachigen,German speakers,Almanca konuşanlar,-
A2,Deutschübung,German exercise,Alman egzersizi,-
A1,Dezember,December,Aralık,der
B1,Dialekt,dialect,lehçe,der
B1,Dialog,dialog,diyalog,der
A1,Dich,You,Sen,-
B1,Dichen,Dichen,Dichen,-
B1,Dicht,Dense,Yoğun,-
A2,Dick,Thick,Kalın,-
B1,Diebriefträgerin,The postman,Postacı,-
B1,Dienen,Serve,Sert,das
B1,Dienst,service,hizmet,der
A1,Dienstag,The Tuesday,Salı,der
A2,Dienstags,Tuesdays,Salı günleri,-
A1,Dienstleistung,service,hizmet,die
A1,Dieser,This,Bu,-
B1,Diesmal,This time,Bu sefer,-
B1,Dietmar,Dietmar,Diyetmar,-
B1,Dieversichertenkaren,Theinsuredkaren,Sigortalıkaren,-
B1,Diewissenschaftlerin,The scientist,Bilim insanı,-
B1,Digital,Digital,Dijital,Adjektiv
,Digitalis,digitalis,dijitalis,das
B1,Digitaluhr,Digital clock,Dijital saat,die
A2,Dina,Dinah,Dinah,-
A2,Ding,thing,şey,das
B1,Diplom,diploma,diploma,das
B1,Diplommittelschule,Diploma middle school,Diploma orta okulu,-
A1,Dir,You,Sen,-
A2,Direkt,Direct,Doğrudan,-
A2,Direktor,director,müdür,der
B1,Direktorin,Director,Müdür,die
B1,Disc,Disc,Disk,die
B1,Diskothek,discotheque,diskotek,die
B1,Diskussion,discussion,tartışma,die
A2,Diskutieren,Discuss,Tartışmak,das
B1,Diskutiern,Discuss,Tartışmak,-
B1,Distanz,distance,mesafe,die
A2,Dium,Dium,Diyum,-
B1,Diät,diet,diyet,die
A1,Doch,But,Ancak,-
A2,Doktorin,Doctor,Doktor,die
B1,Dokument,document,belge,das
A2,Dollar,dollar,dolar,der
A1,Dom,Cathedral,Katedral,der
B1,Donau,Danube,Tuna,die
B1,Donner,thunder,gök gürültüsü,der
B1,Donneren,Thunder,Gök gürültüsü,-
B1,Donnern,Thunder,Gök gürültüsü,das
A1,Donnerstag,Thursday,Perşembe,der
A2,Donnerstags,Thursdays,perşembe,-
B1,Doppel,Double,Çift,das
B1,Doppelbett,Double bed,Çift kişilik yatak,das
B1,Doppelklick,Double click,Çift tıklama,der
B1,Doppelt,Double,Çift,-
A1,Doppelzimmer,double bedroom,çift ​​yatak odası,das
A1,Dorf,village,köy,das
A1,Dort,There,Orada,-
A2,Dorther,There,Orada,-
B1,Dr,Dr,Dr.,-
B1,Dran,Your turn,Sıra sende,-
A1,Draußen,Outside,Dıştan,-
B1,Dreck,dirt,kir,der
B1,Dreh,Spin,Döndürmek,der
B1,Drehen,Turn,Dönüş,das
A1,Drei,three,üç,die
B1,Dreier,three,üç,der
B1,Dreijährig,Three year old,Üç yaşında,-
A2,Dreimal,Three times,Üç kez,-
A1,Dreiundzwanzig,Twentythree,Yirmiüç,-
A1,Dreizehn,Thirteen,On üç,die
B1,Dreizimmerwohnung,Three-room apartment,Üç odalı daire,die
A1,Dreißig,Thirty,Otuz,die
B1,Drin,Inside,İçeri,-
A2,Dringend,Urgent,Acil,-
A2,Drinnen,Inside,İçeri,-
B1,Drittel,third,üçüncü,das
A2,Drittens,Third,Üçüncü,-
A1,Dritter,Third,Üçüncü,der
B1,Droge,drug,ilaç,die
B1,Drogerie,drugstore,eczane,die
B1,Druck,Pressure,Basınç,der
A1,Drucken,Press,Basmak,das
A1,Drucker,printer,Yazıcı,der
A2,Drüben,Over,Üzerinde,-
B1,Drückst,Press,Basmak,-
A1,Du,You,Sen,-
B1,Duden,Duden,Düden,der
A2,Dumm,Dumb,Sersem,-
B1,Dung,Dung,Gübre,der
A2,Dunkel,Dark,Karanlık,das
B1,Dunkelblau,Dark blue,Koyu mavi,-
A2,Dunkelblaue,Dark blue ones,Koyu mavi olanlar,-
,Dura,Dura,Dura,die
A1,Durch,through,aracılığıyla,-
B1,Durcheinander,Mixed up,Karışık,das
A1,Durchsage,announcement,duyuru,die
B1,Durchschneiten,Cutting through,Kesmek,-
B1,Durchschnittlich,Average,Ortalama,-
A2,Durfen,May,Mayıs,-
A1,Durst,thirst,susuzluk,der
B1,Durstig,Thirsty,Susuz,-
A1,Duschen,have a shower,duş almak,das
A2,Duscht,Shower,Duş,-
B1,Duzen,First name,İlk adı,das
B1,Duzieren,Duduce,Duduce,-
B1,Duzt,First name,İlk adı,-
A2,Dünn,Thin,İnce,-
A1,Dürfen,May,Mayıs,Verb
B1,Eben,Even,Eşit,-
B1,Ebenfalls,Also,Ayrıca,-
B1,Ebenso,As well,İlave olarak,-
B1,Ec,Ec,Ec,-
A2,Echt,Real,Gerçek,-
A2,Echter,More real,Daha gerçek,-
A1,Ecke,corner,köşe,die
B1,Eckig,Square,Kare,-
B1,Eckigen,Angular,Açısal,-
B1,Eden,Eden,Cennet,das
A2,Een,Een,Een,-
B1,Eg,Eg,Örneğin,-
A2,Egal,No matter,Önemi yok,-
A1,Ehefrau,wife,eş,die
A1,Ehegattennachzugs,spouse reunification,eş birleşimi,-
A1,Ehemann,husband,koca,der
B1,Ehepaar,couple,çift,das
A2,Ehepartner,spouse,eş,der
B1,Eher,Rather,Yerine,-
B1,Ehre,Honor,Onur,die
A1,Ehren,to honor,onuruna,das
B1,Ehrlich,Honestly,Açıkçası,-
A1,Ei,egg,yumurta,das
A2,Eich,Oak,Meşe,-
B1,Eidgenossenschaft,confederation,konfederasyon,die
A1,Eigen,own,sahip olmak,das
A2,Eigentlich,Actually,Aslında,-
A2,Eigentum,Property,Mülk,das
B1,Eile,Hurry,Acele etmek,die
B1,Eilen,Rush,Acele etmek,das
A1,Eilig,Hurry,Acele etmek,Adjektiv
A1,Ein,A,A,-
B1,Einatmen,Inhale,Nefes al,das
B1,Einbahnstraßen,One-way streets,Tek yönlü sokaklar,-
B1,Einbezoge,Included,Dahil,-
B1,Einbrech,Burglary,Hırsızlık,-
B1,Einbrechen,Break in,Sözünü kesmek,das
B1,Einbrecherin,Burglar,Hırsız,die
B1,Einbruch,Burglary,Hırsızlık,der
B1,Eindeutig,Clearly,açıkça,-
B1,Eindruck,Impression,İzlenim,der
B1,Einer,One,Bir,der
B1,Einerseits,On the one hand,Bir taraftan,-
A1,Einfach,Simply,Basitçe,Adjektiv
B1,Einfahren,Drive in,İçeri girin,das
B1,Einfall,incidence,görülme sıklığı,der
B1,Einfallen,Come up,Ortaya çıkmak,das
B1,Einfluss,Influence,Etkilemek,der
B1,Einfügen,Insert,Sokmak,das
B1,Einführen,Introduce,Tanıtmak,das
B1,Einführung,introduction,giriiş,die
A1,Eingang,entrance,giriş,der
B1,Eingen,Individual,Bireysel,-
A2,Eingepacken,Wrapped up,Sarılmış,-
B1,Eingerücken,Indented,Girintili,-
A1,Eingerückt,Indented,Girintili,-
B1,Eingeschlafen,Fell asleep,Uyuyakaldım,-
A2,Eingespieln,Well-rehearsed,İyi prova edilmiş,-
A2,Eingezogen,Conscripted,askere alınmış,-
A2,Einheit,Unit,Birim,die
B1,Einheitlich,Uniform,Üniforma,-
A2,Einhunderen,One hundred,Yüz,-
A2,Einig,Agreed,kabul edildi,-
B1,Einigen,Some,Bazı,das
A2,Einiger,Some,Bazı,-
B1,Einkauf,Shopping,Alışveriş,der
A1,Einkaufen,Shopping,Alışveriş,das
A2,Einkaufs,Shopping,Alışveriş,-
B1,Einkaufsli,Shopping li,Alışveriş,-
A2,Einkaufszentrum,Shopping center,Alışveriş merkezi,das
B1,Einkommen,income,gelir,das
B1,Einkäufn,purchases,satın almalar,-
A1,Einladen,Invite,Davet etmek,das
A1,Einladung,invitation,davet,die
B1,Einleitung,Introduction,giriiş,die
,Einmach,preserving,muhafaza,die
A1,Einmal,Once,Bir kere,-
B1,Einnahme,intake,giriş,die
B1,Einnehmen,Take,Almak,das
A2,Einpacken,Wrap up,Özetle,das
B1,Einparken,Parking,Otopark,das
B1,Einrichten,Furnish,Döşeme,das
A1,Einrichtung,facility,tesis,die
B1,Einsam,Lonely,Yalnız,-
B1,Einschalt,Switch on,Açma,-
B1,Einschalten,Turn on,Aç,das
B1,Einschließen,Include,Katmak,das
B1,Einschließlich,Including,İçermek,-
B1,Einschreiben,Registered mail,Taahhütlü posta,das
B1,Einser,One,Bir,der
B1,Einsetzen,Insert,Sokmak,das
A1,Einsteigen,Get in,Alın,das
B1,Einstellen,Set,Ayarlamak,das
A1,Eintrag,entry,giriş,der
A2,Eintragen,Register,Kayıt olmak,das
A1,Eintreten,Enter,Girmek,das
A1,Eintrittskarten,tickets,biletler,-
A1,Einundzwanzig,Twenty-one,Yirmi bir,-
A2,Einverstehen,Agreed,kabul edildi,-
A2,Einwilligung,consent,onay,die
B1,Einwohner,Resident,İkamet eden kişi,der
B1,Einwohnerin,resident,ikamet eden kişi,die
B1,Einzahlen,Deposit,Mevduat,das
B1,Einzahlung,Deposit,Mevduat,die
A2,Einzel,Singles,Bekarlar,das
B1,Einzelheit,detail,detay,die
A2,Einzelkind,Only child,Tek çocuk,das
A1,Einzeln,individual,bireysel,Adjektiv
A1,Einzelzimmer,single room,tek oda,das
A2,Einziehen,Move in,Taşın,das
B1,Einzig,Only,Sadece,-
A1,Einübung,exercise,egzersiz,-
A2,Eis,Ice,Buz,das
B1,Eisenbahn,railroad,demiryolu,die
B1,Elefant,elephant,fil,der
B1,Elegant,Elegant,Zarif,der
B1,Elektrisch,Electric,Elektrik,-
A2,Elektro,Electric,Elektrik,-
A2,Elektrogerat,electrical appliance,elektrikli cihaz,-
B1,Elektrogeschäft,Electrical store,Elektrik mağazası,-
B1,Elektroherd,Electric stove,Elektrikli soba,der
B1,Elektroingenieur,Electrical engineer,Elektrik mühendisi,der
B1,Elektronisch,Electronic,Elektronik,-
A1,Elf,Eleven,Onbir,der
A1,Eltern,parents,ebeveyn,die
B1,Elternvertreter,Parent representative,Veli temsilcisi,-
A1,Empfang,Reception,Resepsiyon,der
B1,Empfangen,Received,Kabul edilmiş,das
A1,Empfehlen,Recommend,Tavsiye etmek,das
B1,Empfehlung,Recommendation,Tavsiye,die
A1,Ende,end,son,das
B1,Endgültig,Finally,Nihayet,-
A2,Endlich,Finally,Nihayet,-
B1,Endspiel,Endgame,Oyun Sonu,das
B1,Energie,energy,enerji,die
A2,Enfür,Enfor,Enfor,-
A2,Eng,Closely,Yakından,-
B1,Engeren,Engen,Engen,-
A2,England,England,İngiltere,das
B1,Englischkurs,English course,İngilizce kursu,der
A1,Enheit,Unity,Birlik,-
A2,Enkel,grandson,torun,der
A2,Enkelin,granddaughter,torunu,die
B1,Entdecken,Discover,Keşfetmek,das
B1,Entfernen,Remove,Kaldırmak,das
B1,Entfernt,Removed,Kaldırıldı,-
B1,Entfernung,distance,mesafe,die
B1,Entgegenbringen,Accommodate,konaklama,Verb
B1,Entgegengekommen,Accommodated,Konaklamalı,-
B1,Entgegenkommen,Accommodation,Konaklama,das
A1,Enthalten,Contain,İçermek,das
B1,Entlang,Along,Birlikte,-
B1,Entlassen,Dismissed,Görevden alındı,das
B1,Entlassung,Dismissal,İşten çıkarılma,die
B1,Entlässen,Dismiss,Azletmek,-
A2,Entnehmen,Remove,Kaldırmak,das
B1,Entscheiden,Decide,Karar vermek,das
B1,Entscheidung,Decision,Karar,die
B1,Entschliessen,Decide,Karar vermek,-
B1,Entschließen,Decide,Karar vermek,das
B1,Entschloss,Determined,Azimli,-
B1,Entschluss,decision,karar,der
A2,Entschuldi,Sorry,Üzgünüm,-
A1,Entschuldigen,Excuse,Mazeret,das
A1,Entschuldigung,apology,Özür,die
B1,Entsorgen,Dispose,Bertaraf,das
B1,Entspannend,Relaxing,Rahatlatıcı,-
B1,Entstehen,Arise,Kalkmak,das
B1,Enttäuschen,Disappoint,Hayal kırıklığı,das
B1,Enttäuschend,Disappointing,Hayal kırıklığı,-
B1,Enttäuschung,disappointment,hayal kırıklığı,die
A2,Entweder,Either,Herhangi biri,das
A2,Entwickeln,Develop,Geliştirmek,das
B1,Entwicklung,Development,Gelişim,die
A2,Epeassen,Epeassen,Epeassen,-
A1,Er,He,O,-
B1,Erdapfel,Potato,Patates,der
B1,Erdbeergeschmack,Strawberry flavor,Çilek aroması,der
B1,Erde,Earth,Toprak,die
A2,Erdgeschoss,Ground floor,Zemin kat,das
B1,Erdgeschoß,Ground floor,Zemin kat,-
B1,Erdäpfel,Potatoes,Patates,-
B1,Ereignen,Occur,Meydana gelmek,das
B1,Ereignis,Event,Etkinlik,das
B1,Erfahren,Experience,Deneyim,das
A2,Erfahrung,Experience,Deneyim,die
B1,Erfinden,Invent,İcat etmek,das
B1,Erfindung,invention,buluş,die
A2,Erfolg,Success,Başarı,der
A1,Erfolgen,Take place,Yer almak,das
B1,Erfolgreich,Successful,Başarılı,-
B1,Erforderen,Require,Gerekmek,-
B1,Erforderlich,Necessary,Gerekli,-
B1,Erforderlichen,Required,Gerekli,-
B1,Erfordern,Require,Gerekmek,das
B1,Erfund,invention,buluş,-
A1,Erfülle,Fulfill,Yerine getir,-
B1,Erfüllen,Fulfill,Yerine getir,das
A2,Ergeben,Result,Sonuç,das
A1,Ergebnis,result,sonuç,das
B1,Ergeschoß,Shot,Atış,-
A1,Ergänzen,Add to,a ekle,das
B1,Erhalten,Receive,Almak,das
B1,Erheben,Raise,Artırmak,das
B1,Erholen,Recover,İyileşmek,das
B1,Erholung,recreation,rekreasyon,die
B1,Erhöhen,Increase,Arttırmak,das
B1,Erhöhung,increase,arttırmak,die
A2,Erinnern,Remember,Hatırlamak,das
A2,Erinnerst,Remember,Hatırlamak,-
B1,Erinnerung,Memory,Hafıza,die
A2,Erkalten,Cool down,Sakin ol,das
B1,Erkennen,Recognize,Tanımak,das
A2,Erklär,Explain,Açıklamak,-
A1,Erklären,Explain,Açıklamak,das
B1,Erklärung,Explanation,Açıklama,die
B1,Erkundig,Inquire,Sor,-
B1,Erkundigen,Inquire,Sor,das
B1,Erkält,Cold,Soğuk,-
B1,Erkältest,Coldest,En soğuk,-
B1,Erkältetsich,Catches a cold,Soğuk algınlığına yakalanır,-
B1,Erkältung,A cold,Soğuk,die
A1,Erlauben,Allow,İzin vermek,das
A2,Erlaubnis,Permission,İzin,die
B1,Erleben,Experience,Deneyim,das
B1,Erlebnis,Experience,Deneyim,das
B1,Erledigen,Complete,Tamamlamak,das
B1,Erleichteren,Facilitate,Kolaylaştırmak,-
B1,Erleichtern,Facilitate,Kolaylaştırmak,das
A2,Ermäßigung,discount,indirim,die
A1,Ermöglichen,Make possible,Mümkün kıl,das
B1,Ernen,Ernen,Ernen,-
A2,Ernst,Serious,Cidden,der
B1,Ernsthaft,Seriously,Cidden,-
B1,Ernähren,Feed,Beslemek,das
B1,Ernährung,Nutrition,Beslenme,die
A2,Erreichen,To reach,Ulaşmak için,das
B1,Ersatz,Substitute,Yerine geçmek,der
A2,Erscheinen,Appear,Belli olmak,das
A1,Erschließbar,Developable,Geliştirilebilir,-
A2,Erschließbaren,Developable,Geliştirilebilir,-
A1,Erschließen,Open up,Aç,Verb
B1,Erschrak,Scared,Korkmuş,-
B1,Erschrecken,Scare,Korkutmak,das
B1,Erschreckt,Terrified,Dehşete düşmüş,-
B1,Erschricken,Scare,Korkutmak,-
B1,Erschrocken,Frightened,Korkmuş,-
B1,Erschöpfen,Exhaust,Egzoz,das
B1,Ersetzen,Substitute,Yerine geçmek,das
A1,Erst,First,Birinci,-
B1,Erstellen,Create,Yaratmak,das
A2,Erstens,First,Birinci,-
A1,Erstmals,First time,İlk kez,-
A1,Erwachsen,adult,yetişkin,das
A2,Erwachsenenprüfung,Adult exam,Yetişkin sınavı,-
B1,Erwachsener,adult,yetişkin,-
A2,Erwarten,Expect,Beklemek,das
B1,Erweitern,Expand,Genişletmek,das
A2,Erwerb,acquisition,kazanma,der
B1,Erziehen,Educate,eğitmek,das
A1,Erziehung,education,eğitim,die
A1,Erziehungsdirektor,Director of Education,Eğitim Direktörü,-
B1,Erzog,Educated,Eğitimli,-
B1,Erzogen,Educated,Eğitimli,-
A1,Erzählen,Tell,Söylemek,das
A2,Erzählst,Tell me,Söyle bana,-
B1,Erzählung,narrative,anlatı,die
B1,Eröffnen,Open,Açık,das
B1,Eröffnung,opening,açılış,die
A1,Es,It,BT,das
A1,Essen,food,yemek,das
B1,Essensausgabe,Food distribution,Gıda dağıtımı,die
B1,Essig,Vinegar,Sirke,der
B1,Esstisch,Dining table,Yemek masası,der
B1,Et,Et,Et,-
B1,Etage,floor,zemin,die
A1,Etc,etc,vb,-
A1,Etwa,Approximately,Yaklaşık olarak,-
A1,Etwas,Something,Bir şey,das
A1,Eu,Eu,AB,-
A1,Euch,You,Sen,-
B1,Eur,Eur,Avro,-
A2,Eure,Your,Senin,-
A2,Euremöbel,Your furniture,Mobilyalarınız,-
B1,Eurer,Yours,seninki,-
A2,Europäerin,European,Avrupa,die
B1,Eventuell,Possibly,muhtemelen,-
B1,Ewig,Forever,Sonsuza kadar,-
B1,Expern,experts,uzmanlar,-
B1,Export,export,ihracat,der
B1,Exportabteilung,Export department,İhracat departmanı,die
B1,Express,Express,İfade etmek,der
B1,Extra,Extra,Ekstra,das
B1,Extrem,Extreme,Aşırı,das
B1,Fabrik,Factory,Fabrika,die
A2,Fach,Academic subject,Akademik konu,das
B1,Fachfrau,Specialist,Uzman,die
B1,Fachleute,professionals,profesyoneller,die
B1,Fachlich,Technically,Teknik olarak,-
B1,Fachmann,Professional,Profesyonel,der
B1,Fahrbahn,roadway,karayolu,die
A1,Fahren,Drive,Sürmek,das
A1,Fahrer,driver,sürücü,der
A2,Fahrerin,driver,sürücü,die
B1,Fahrgeld,Fare,Ücret,das
A1,Fahrkart,ticket,bilet,-
A2,Fahrkartenautomat,Ticket machine,Bilet makinesi,der
B1,Fahrkartenkontrolle,Ticket control,Bilet kontrolü,die
A2,Fahrplan,Timetable,Zaman çizelgesi,der
A2,Fahrplanstehtnurdieankunftd,The timetable only shows arrivals,Zaman çizelgesi yalnızca varışları gösterir,-
A1,Fahrrad,bike,bisiklet,das
B1,Fahrradfahren,Ride a bike,Bisiklet sürmek,das
B1,Fahrschein,ticket,bilet,der
B1,Fahrstuhl,elevator,asansör,der
B1,Fahrtkost,Travel expenses,Seyahat masrafları,-
B1,Fahrzeug,vehicle,araç,das
B1,Fair,Fair,Adil,-
B1,Faktor,factor,faktör,der
,Falasche,Falash,Falaş,der
A1,Fall,case,dava,der
A1,Fallen,Falling,Düşme,das
B1,Falls,If,Eğer,-
